Unique ID,Title,Career Switcher?,Salary,Industry,Language,Position Satisfaction,Work Life Balance Satisfaction,Coworker Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning Satisfaction,Difficulty Level of Breaking into Data,Most Important Aspect in New Job,Gender,Age,Country,Highest Level of Education,Ethnicity
46,Data Analyst,Yes,86-105,Other,Python,8,6,2,3,6,7,Both,Other,Male,28,United States,Unanswered / None,White or Caucasian
47,Data Analyst,No,66-85,Finance,SQL,5,7,1,1,0,8,Both,Better Salary,Male,32,United States,Unanswered / None,White or Caucasian
48,Data Analyst,Yes,66-85,Other,R,7,8,10,8,9,9,Difficult,Remote Work,Female,41,United States,Unanswered / None,White or Caucasian
49,Data Analyst,Yes,41-65,Finance,Python,5,6,6,6,6,6,Both,Remote Work,Male,33,United Kingdom,High School,White or Caucasian
50,Other,Yes,150-225,Tech,Python,10,8,9,8,8,10,Easy,Good Work/Life Balance,Male,38,United States,Unanswered / None,Hispanic or Latino
51,Data Analyst,No,0-40,Tech,SQL,8,8,8,8,5,10,Easy,Better Salary,Female,22,India,Unanswered / None,Asian or Asian American
52,Unemployed / Student,Yes,0-40,Other,R,1,3,6,6,6,9,Difficult,Remote Work,Male,36,Other,Bachelors,Black or African American
53,Data Engineer,No,66-85,Finance,Python,2,1,1,1,3,7,Easy,Remote Work,Female,28,United States,Masters,Asian or Asian American
54,Unemployed / Student,Yes,0-40,Other,SQL,,,,,,7,Very Easy,Other,Male,30,Other,Unanswered / None,Black or African American
55,Data Analyst,Yes,66-85,Tech,Python,6,6,6,6,5,6,Difficult,Other,Female,24,United States,Bachelors,Hispanic or Latino
56,Other,No,41-65,Other,C/C++,3,6,7,7,0,3,Very Difficult,Better Salary,Male,29,United States,Bachelors,White or Caucasian
57,Data Analyst,No,0-40,Tech,Python,4,9,10,9,9,10,Easy,Better Salary,Male,29,Other,Associates,Hispanic or Latino
58,Other,Yes,41-65,Other,Python,6,8,8,7,9,7,Both,Good Work/Life Balance,Male,38,Other,Masters,White or Caucasian
59,Data Analyst,Yes,0-40,Finance,Other,3,5,4,3,3,3,Difficult,Good Work/Life Balance,Male,31,Other,Masters,White or Caucasian
60,Unemployed / Student,No,0-40,Tech,Python,1,4,5,5,1,1,Difficult,Better Salary,Male,25,United States,Masters,White or Caucasian
61,Data Analyst,No,66-85,Telecommunication,Python,4,6,4,5,4,4,Both,Better Salary,Male,24,United States,Masters,White or Caucasian
62,Other,Yes,41-65,Tech,Python,6,7,4,3,9,8,Difficult,Better Salary,Male,28,Other,Bachelors,White or Caucasian
63,Unemployed / Student,No,0-40,Tech,Python,7,5,8,0,0,0,Both,Good Culture,Female,23,India,Bachelors,Asian or Asian American
64,Data Engineer,No,0-40,Tech,R,2,3,2,5,5,7,Both,Remote Work,Male,21,Other,Masters,Hispanic or Latino
65,Data Analyst,No,0-40,Other,Python,4,4,4,4,5,6,Both,Remote Work,Male,29,Other,Bachelors,Other 
66,Data Analyst,Yes,41-65,Tech,Python,5,6,7,7,7,6,Difficult,Better Salary,Male,25,United States,Bachelors,Asian or Asian American
67,Data Analyst,No,41-65,Tech,Python,6,6,6,6,3,5,Difficult,Good Culture,Male,27,Other,Masters,Black or African American
68,Data Analyst,Yes,41-65,Tech,Python,3,9,10,8,9,9,Easy,Better Salary,Male,23,India,Bachelors,Asian or Asian American
69,Other,No,86-105,Other,R,4,3,3,5,5,5,Difficult,Better Salary,Male,32,United States,Masters,Asian or Asian American
70,Unemployed / Student,Yes,106-125,Healthcare,Python,5,5,7,5,7,7,Both,Remote Work,Male,22,India,Bachelors,Asian or Asian American
71,Data Analyst,No,0-40,Tech,Python,2,9,9,8,6,2,Easy,Better Salary,Male,25,Other,Bachelors,Asian or Asian American
72,Data Analyst,Yes,0-40,Telecommunication,Python,2,8,6,6,5,5,Both,Remote Work,Female,36,Other,Masters,White or Caucasian
73,Data Analyst,Yes,106-125,Tech,SQL,10,6,9,5,8,7,Easy,Good Work/Life Balance,Female,27,United States,Bachelors,White or Caucasian
74,Other,Yes,0-40,Tech,Python,5,5,5,5,5,1,Both,Other,Male,23,India,Bachelors,Asian or Asian American
75,Unemployed / Student,Yes,0-40,Tech,SQL,2,3,3,3,3,6,Very Difficult,Better Salary,Male,26,Other,Bachelors,Black or African American
76,Other,No,86-105,Healthcare,Python,9,10,10,10,10,10,Very Easy,Good Work/Life Balance,Female,33,United States,PhD,Hispanic or Latino
77,Data Analyst,Yes,106-125,Other,Python,3,5,3,3,5,5,Easy,Better Salary,Male,27,Other,Masters,White or Caucasian
78,Data Analyst,Yes,41-65,Education,R,3,6,5,4,3,4,Both,Better Salary,Male,42,United States,Associates,White or Caucasian
79,Data Analyst,Yes,0-40,Tech,Python,6,7,8,7,7,8,Easy,Good Work/Life Balance,Male,29,Other,Masters,White or Caucasian
80,Data Analyst,No,125-150,Tech,Python,4,7,6,4,2,4,Easy,Better Salary,Female,27,United States,Masters,Asian or Asian American
81,Unemployed / Student,No,41-65,Healthcare,Python,0,10,10,10,4,2,Both,Remote Work,Female,39,United States,Bachelors,Hispanic or Latino
82,Data Analyst,Yes,41-65,Telecommunication,Python,6,6,7,5,6,7,Difficult,Good Culture,Male,31,Other,Masters,White or Caucasian
83,Data Analyst,Yes,66-85,Other,Python,7,7,5,9,7,8,Easy,Good Work/Life Balance,Male,29,Other,Bachelors,Hispanic or Latino
84,Data Analyst,Yes,66-85,Education,R,7,7,7,7,4,7,Easy,Remote Work,Male,31,United States,Masters,White or Caucasian
85,Data Analyst,Yes,0-40,Finance,Python,10,9,9,10,9,10,Both,Good Culture,Male,30,Other,Masters,Hispanic or Latino
86,Data Engineer,Yes,0-40,Tech,Python,7,8,6,5,5,9,Difficult,Better Salary,Male,33,Other,Masters,Hispanic or Latino
87,Data Analyst,No,66-85,Other,Python,7,8,9,7,7,7,Both,Better Salary,Male,25,United States,Bachelors,White or Caucasian
88,Unemployed / Student,No,0-40,Tech,R,0,0,0,0,0,0,Both,Good Work/Life Balance,Male,23,India,Bachelors,Asian or Asian American
89,Data Analyst,Yes,41-65,Other,Other,4,4,3,3,5,6,Very Difficult,Better Salary,Male,33,United States,Bachelors,Asian or Asian American
90,Other,Yes,66-85,Other,Python,7,9,9,8,8,9,Both,Good Work/Life Balance,Male,35,Other,Bachelors,Hispanic or Latino
91,Data Analyst,No,41-65,Other,Python,6,8,5,,6,9,Both,Remote Work,Female,42,Other,Masters,White or Caucasian
92,Data Analyst,No,66-85,Tech,Python,3,4,2,1,0,4,Both,Better Salary,Male,25,United States,Bachelors,White or Caucasian
93,Data Analyst,No,86-105,Other,Python,5,4,5,4,3,6,Both,Other,Male,23,United States,Bachelors,White or Caucasian
94,Other,No,41-65,Healthcare,JavaScript,2,4,6,5,3,4,Easy,Better Salary,Female,51,United States,Bachelors,Black or African American
95,Data Analyst,No,0-40,Telecommunication,Other,1,4,4,3,2,6,Very Difficult,Better Salary,Male,30,United Kingdom,Bachelors,Black or African American
96,Data Analyst,Yes,41-65,Finance,Python,8,9,9,9,9,8,Very Difficult,Better Salary,Male,23,India,Bachelors,Asian or Asian American
97,Other,Yes,41-65,Other,R,3,5,5,6,3,4,Both,Better Salary,Male,24,Canada,Bachelors,Asian or Asian American
98,Unemployed / Student,Yes,41-65,Tech,Python,6,6,6,6,6,6,Easy,Good Culture,Male,25,Other,Masters,Asian or Asian American
99,Data Analyst,Yes,41-65,Finance,Python,4,4,6,4,5,6,Difficult,Better Salary,Female,55,United States,Masters,Other 
100,Data Analyst,No,86-105,Other,R,8,10,8,7,8,10,Very Easy,Remote Work,Female,30,United States,Masters,White or Caucasian
101,Data Analyst,Yes,41-65,Other,Python,9,9,9,9,7,4,Difficult,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
102,Data Analyst,Yes,66-85,Other,Python,6,9,7,6,7,7,Both,Better Salary,Male,28,United States,Masters,White or Caucasian
103,Other,Yes,41-65,Other,Python,8,8,9,9,10,10,Very Easy,Better Salary,Male,34,United Kingdom,Bachelors,White or Caucasian
104,Data Analyst,Yes,0-40,Tech,Python,8,10,9,9,10,8,Both,Better Salary,Female,28,Other,Bachelors,Hispanic or Latino
105,Unemployed / Student,No,0-40,Other,Other,7,9,7,8,8,10,Both,Better Salary,Male,24,Other,Bachelors,Asian or Asian American
106,Unemployed / Student,Yes,0-40,Healthcare,Python,3,7,7,7,1,2,Difficult,Better Salary,Male,31,United States,Masters,Black or African American
107,Data Analyst,Yes,41-65,Other,SQL,3,6,6,6,4,4,Easy,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
108,Data Analyst,Yes,106-125,Finance,Python,5,1,4,3,3,4,Easy,Better Salary,Female,38,United States,Bachelors,White or Caucasian
109,Data Analyst,No,41-65,Finance,Python,5,5,5,5,4,5,Both,Good Culture,Male,30,Other,Bachelors,Hispanic or Latino
110,Data Analyst,Yes,0-40,Tech,C/C++,0,0,0,2,2,5,Both,Good Work/Life Balance,Male,25,India,Bachelors,Asian or Asian American
111,Data Analyst,Yes,0-40,Tech,Python,1,2,1,5,6,6,Both,Better Salary,Female,29,Other,Bachelors,Black or African American
112,Data Scientist,Yes,150-225,Finance,Python,7,5,3,6,4,4,Difficult,Good Work/Life Balance,Male,21,Other,Masters,White or Caucasian
113,Data Analyst,Yes,66-85,Other,SQL,5,8,8,7,6,7,Very Easy,Remote Work,Female,39,United States,Bachelors,Asian or Asian American
114,Unemployed / Student,No,0-40,Other,Python,0,0,0,0,0,5,Both,Better Salary,Male,25,Other,Bachelors,White or Caucasian
115,Other,Yes,86-105,Finance,Other,7,9,10,6,4,4,Both,Other,Female,42,United States,Masters,Hispanic or Latino
116,Data Analyst,No,41-65,Tech,R,10,8,9,10,10,10,Easy,Better Salary,Male,25,United States,Bachelors,White or Caucasian
117,Data Scientist,No,86-105,Finance,Python,8,7,6,6,5,9,Both,Better Salary,Male,22,United States,Bachelors,White or Caucasian
118,Data Analyst,No,0-40,Other,Python,1,4,4,3,,5,Easy,Better Salary,Male,23,Other,High School,Hispanic or Latino
119,Data Engineer,Yes,41-65,Other,JavaScript,6,6,6,6,6,6,Difficult,Good Culture,Male,25,Other,High School,Other 
120,Data Engineer,Yes,66-85,Other,Python,5,7,7,6,6,7,Both,Better Salary,Male,45,Canada,Masters,White or Caucasian
121,Data Analyst,Yes,66-85,Healthcare,SQL,7,3,8,6,8,8,Easy,Good Work/Life Balance,Male,24,United States,Bachelors,White or Caucasian
122,Unemployed / Student,No,0-40,Other,R,1,9,6,0,0,0,Difficult,Better Salary,Male,25,United States,Unanswered / None,Black or African American
123,Data Analyst,Yes,66-85,Other,Python,9,8,9,9,8,8,Difficult,Good Work/Life Balance,Male,26,United States,Bachelors,White or Caucasian
124,Data Analyst,No,41-65,Tech,R,4,7,8,8,5,7,Easy,Better Salary,Male,23,Canada,Bachelors,Asian or Asian American
125,Unemployed / Student,Yes,0-40,Other,Python,1,1,1,0,0,3,Difficult,Remote Work,Female,42,United Kingdom,Masters,White or Caucasian
126,Other,Yes,41-65,Education,Other,0,0,2,0,0,0,Very Difficult,Good Work/Life Balance,Female,42,United States,Bachelors,Black or African American
127,Other,No,0-40,Tech,Python,0,6,5,5,3,1,Both,Better Salary,Male,25,India,Masters,Asian or Asian American
128,Data Analyst,Yes,86-105,Tech,R,8,10,10,10,2,7,Easy,Remote Work,Male,38,United States,Masters,White or Caucasian
129,Other,No,0-40,Tech,Python,5,6,6,6,6,4,Easy,Better Salary,Male,24,Other,Bachelors,Hispanic or Latino
130,Data Analyst,Yes,66-85,Education,R,7,10,10,10,8,10,Both,Good Work/Life Balance,Male,28,United States,Bachelors,White or Caucasian
131,Data Analyst,No,41-65,Healthcare,Python,1,2,8,7,0,0,Difficult,Better Salary,Male,21,United States,Bachelors,Asian or Asian American
132,Data Analyst,Yes,106-125,Healthcare,R,10,10,10,10,10,10,Very Easy,Good Culture,Male,39,United States,Masters,White or Caucasian
133,Data Analyst,Yes,0-40,Tech,Python,4,5,5,5,6,8,Difficult,Good Work/Life Balance,Male,23,Other,Bachelors,Asian or Asian American
134,Data Analyst,No,0-40,Other,R,1,6,4,3,5,6,Both,Good Work/Life Balance,Female,23,Other,Bachelors,White or Caucasian
135,Data Analyst,Yes,66-85,Other,R,8,9,8,7,7,8,Both,Good Work/Life Balance,Male,30,United States,Masters,White or Caucasian
136,Data Analyst,No,41-65,Other,Python,2,6,2,3,2,2,Easy,Better Salary,Male,26,Other,Masters,White or Caucasian
137,Data Analyst,Yes,41-65,Healthcare,R,3,6,4,6,4,6,Both,Better Salary,Male,37,United States,Bachelors,White or Caucasian
138,Data Analyst,Yes,66-85,Healthcare,Python,3,5,4,5,4,4,Both,Better Salary,Female,31,United States,Bachelors,White or Caucasian
139,Data Analyst,Yes,0-40,Finance,C/C++,5,2,4,3,3,3,Difficult,Good Work/Life Balance,Female,25,Other,Bachelors,Black or African American
140,Data Analyst,Yes,0-40,Healthcare,Python,2,6,6,5,4,5,Easy,Better Salary,Female,26,Other,Bachelors,White or Caucasian
141,Data Analyst,Yes,66-85,Healthcare,SQL,7,8,8,8,8,7,Very Easy,Better Salary,Male,30,United States,Bachelors,White or Caucasian
142,Data Analyst,Yes,66-85,Tech,Python,9,10,10,10,7,9,Both,Better Salary,Female,39,United States,Bachelors,Black or African American
143,Other,No,0-40,Education,Python,1,1,1,0,0,2,Easy,Good Work/Life Balance,Female,28,India,Masters,Asian or Asian American
144,Data Analyst,Yes,66-85,Finance,SQL,8,8,7,7,10,10,Very Easy,Good Work/Life Balance,Male,22,United States,Bachelors,Biracial
145,Data Analyst,Yes,0-40,Telecommunication,Python,3,2,4,2,2,2,Both,Good Culture,Male,28,Other,Bachelors,Black or African American
146,Other,No,150-225,Tech,R,8,10,9,7,5,5,Both,Remote Work,Male,33,United States,Masters,White or Caucasian
147,Data Analyst,Yes,0-40,Finance,SQL,2,3,3,3,2,4,Both,Good Work/Life Balance,Female,22,Other,Bachelors,Biracial
148,Unemployed / Student,No,0-40,Tech,Python,3,5,5,4,4,5,Both,Better Salary,Male,27,India,Bachelors,Asian or Asian American
149,Data Analyst,Yes,106-125,Other,Other,8,8,8,8,10,10,Easy,Good Work/Life Balance,Male,37,United States,Bachelors,Other 
150,Other,No,41-65,Other,R,3,4,5,5,4,3,Difficult,Better Salary,Male,24,United States,Masters,White or Caucasian
151,Data Analyst,No,41-65,Healthcare,R,1,4,3,2,0,6,Difficult,Better Salary,Male,25,United Kingdom,Masters,Asian or Asian American
152,Data Engineer,No,86-105,Healthcare,R,8,10,8,8,9,10,Both,Good Culture,Male,28,United States,Masters,Black or African American
153,Data Analyst,Yes,41-65,Other,Python,5,5,7,7,7,7,Easy,Better Salary,Male,32,United Kingdom,Bachelors,White or Caucasian
154,Data Analyst,Yes,41-65,Other,Python,0,7,7,7,0,7,Easy,Good Culture,Male,29,United States,Bachelors,Asian or Asian American
155,Data Analyst,No,41-65,Healthcare,R,7,5,8,6,5,10,Difficult,Other,Female,26,Other,Masters,White or Caucasian
156,Data Engineer,Yes,41-65,Tech,Python,0,7,5,0,0,7,Both,Remote Work,Male,37,Canada,Masters,White or Caucasian
157,Data Analyst,No,41-65,Other,R,4,6,5,4,5,6,Both,Better Salary,Male,25,United States,Bachelors,White or Caucasian
158,Data Analyst,No,0-40,Finance,SQL,4,4,5,6,6,0,Difficult,Better Salary,Male,24,Other,High School,White or Caucasian
159,Other,No,125-150,Finance,SQL,7,8,8,8,7,8,Easy,Better Salary,Male,52,United States,Bachelors,White or Caucasian
160,Data Analyst,Yes,41-65,Finance,Python,6,10,3,5,0,10,Difficult,Good Culture,Male,27,Other,Bachelors,Asian or Asian American
161,Data Analyst,No,106-125,Healthcare,Other,6,6,3,3,3,3,Both,Better Salary,Female,29,United States,Masters,White or Caucasian
162,Unemployed / Student,No,0-40,Tech,Python,3,7,6,7,0,0,Difficult,Better Salary,Male,42,Other,Associates,White or Caucasian
163,Data Analyst,Yes,41-65,Telecommunication,R,3,5,6,4,3,7,Difficult,Other,Male,28,United States,Masters,White or Caucasian
164,Data Analyst,Yes,0-40,Tech,Python,8,8,8,8,8,9,Both,Good Work/Life Balance,Male,44,Other,Bachelors,Hispanic or Latino
165,Data Engineer,Yes,0-40,Tech,Python,5,5,6,5,6,7,Both,Remote Work,Male,23,Other,Bachelors,White or Caucasian
166,Data Analyst,No,41-65,Other,R,1,2,6,4,2,0,Easy,Better Salary,Male,27,United States,Bachelors,Hispanic or Latino
167,Data Analyst,No,66-85,Construction,Python,3,3,3,2,2,1,Both,Good Culture,Male,26,United States,Masters,White or Caucasian
168,Data Analyst,Yes,86-105,Healthcare,Other,3,4,4,4,1,3,Both,Better Salary,Male,27,United States,Masters,Hispanic or Latino
169,Data Analyst,Yes,66-85,Other,Python,0,0,7,1,0,9,Difficult,Better Salary,Male,33,Canada,Bachelors,Asian or Asian American
170,Data Analyst,Yes,66-85,Other,Python,8,10,10,10,10,10,Easy,Better Salary,Male,28,United States,Bachelors,Hispanic or Latino
171,Data Analyst,Yes,0-40,Tech,R,2,8,8,7,6,9,Both,Better Salary,Male,32,Other,Bachelors,Black or African American
172,Unemployed / Student,Yes,41-65,Other,Python,2,4,6,1,1,1,Very Difficult,Better Salary,Male,34,Canada,Associates,Asian or Asian American
173,Data Analyst,No,150-225,Tech,Python,10,10,10,8,10,10,Easy,Good Work/Life Balance,Male,28,United States,Bachelors,Asian or Asian American
174,Data Scientist,Yes,125-150,Telecommunication,Python,2,4,1,3,1,7,Both,Better Salary,Male,27,India,Bachelors,Asian or Asian American
175,Data Engineer,Yes,41-65,Finance,Python,2,4,5,5,4,6,Difficult,Better Salary,Male,22,United States,Bachelors,White or Caucasian
176,Data Analyst,No,66-85,Healthcare,Python,3,3,4,1,2,2,Both,Better Salary,Male,29,United States,Masters,White or Caucasian
177,Data Analyst,No,66-85,Healthcare,Python,8,10,10,8,5,7,Both,Good Work/Life Balance,Female,31,United States,Masters,White or Caucasian
178,Data Analyst,No,66-85,Tech,Python,4,5,5,5,4,4,Easy,Remote Work,Male,28,United States,Bachelors,White or Caucasian
179,Unemployed / Student,No,0-40,Healthcare,Python,0,0,0,0,0,0,Both,Good Work/Life Balance,Male,24,United States,Masters,Asian or Asian American
180,Data Analyst,No,86-105,Other,Other,4,5,3,4,2,3,Easy,Good Culture,Male,34,United States,Masters,White or Caucasian
181,Data Engineer,No,86-105,Tech,Python,5,3,5,5,4,5,Difficult,Better Salary,Male,23,United States,Bachelors,White or Caucasian
182,Unemployed / Student,No,41-65,Construction,Other,10,4,10,10,4,10,Both,Remote Work,Male,32,Other,Masters,White or Caucasian
183,Data Analyst,Yes,0-40,Healthcare,R,6,8,6,6,8,10,Easy,Remote Work,Male,29,Other,High School,Hispanic or Latino
184,Data Analyst,Yes,0-40,Education,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,34,Other,Bachelors,Black or African American
185,Data Analyst,No,66-85,Finance,Python,7,5,5,7,9,10,Very Easy,Remote Work,Male,24,United Kingdom,Bachelors,White or Caucasian
186,Other,No,66-85,Tech,Python,0,10,6,0,0,0,Difficult,Better Salary,Male,30,United States,Bachelors,Asian or Asian American
187,Other,No,86-105,Other,Python,5,5,6,4,5,5,Difficult,Better Salary,Male,24,United States,Masters,Hispanic or Latino
188,Data Analyst,Yes,41-65,Other,Python,6,8,10,9,7,9,Easy,Better Salary,Male,27,United States,Bachelors,Other 
189,Data Analyst,No,0-40,Finance,Python,1,2,4,4,4,5,Both,Better Salary,Male,21,India,Bachelors,Asian or Asian American
190,Data Analyst,No,0-40,Other,Python,3,5,9,9,,8,Very Difficult,Other,Male,31,Other,Masters,Black or African American
191,Data Analyst,Yes,0-40,Telecommunication,R,5,7,5,5,5,7,Difficult,Better Salary,Male,41,Other,Bachelors,White or Caucasian
192,Data Analyst,Yes,0-40,Tech,Python,0,1,1,0,0,2,Difficult,Better Salary,Male,25,India,Bachelors,Asian or Asian American
193,Data Analyst,No,0-40,Finance,Other,4,7,8,8,8,9,Both,Other,Male,24,Other,Bachelors,Black or African American
194,Data Analyst,No,0-40,Finance,Python,6,5,6,5,6,6,Both,Better Salary,Male,30,Other,Masters,Black or African American
195,Data Analyst,No,150-225,Finance,Other,7,7,7,,5,7,Both,Good Work/Life Balance,Male,33,United States,Bachelors,White or Caucasian
196,Data Analyst,No,66-85,Other,Other,7,4,10,9,7,10,Difficult,Better Salary,Male,23,United States,Bachelors,Hispanic or Latino
197,Data Analyst,Yes,66-85,Tech,Python,6,6,6,6,6,6,Difficult,Remote Work,Female,33,United Kingdom,Masters,Asian or Asian American
198,Data Analyst,No,106-125,Finance,Python,4,4,4,4,4,4,Both,Better Salary,Male,25,United States,Bachelors,White or Caucasian
199,Data Analyst,No,0-40,Other,Python,5,5,5,5,5,5,Both,Remote Work,Female,27,Other,Masters,White or Caucasian
200,Data Analyst,Yes,0-40,Finance,C/C++,5,10,10,8,10,10,Very Easy,Good Work/Life Balance,Male,30,United Kingdom,Bachelors,White or Caucasian
201,Data Analyst,Yes,0-40,Tech,Python,0,3,,,,6,Both,Remote Work,Male,29,Other,Bachelors,Black or African American
